"gene","module","MM_own","GS_growth"
"Gohir.A09G240232","blue",0.960349368155934,-0.979666678199926
"Gohir.A02G022500","turquoise",0.813905723363633,0.979562428001635
"Gohir.A01G119100","turquoise",0.869043326570815,0.979537831156368
"Gohir.D05G127200","turquoise",0.862657097923519,0.979497350311158
"Gohir.D09G021700","turquoise",0.945204760841679,0.979458687179296
"Gohir.A11G293300","turquoise",0.833040449375578,0.979439688703926
"Gohir.D07G220300","turquoise",0.837228128169168,0.979402980461879
"Gohir.D03G113200","blue",0.843225398922848,-0.97937624146519
"Gohir.D06G079700","turquoise",0.965616137670574,0.979370931397691
"Gohir.A11G096300","turquoise",0.907146426989205,0.979366264693292
"Gohir.D01G095400","turquoise",0.839894261643122,0.979363581531176
"Gohir.A03G038500","blue",0.854688554117125,-0.979362888530249
"Gohir.D07G101401","turquoise",0.96381183208016,0.979317374814508
"Gohir.A05G164200","turquoise",0.907884592463083,0.979307932023809
"Gohir.A05G234133","turquoise",0.892031493729457,0.979304367453364
"Gohir.A09G024300","turquoise",0.926540615874426,0.979267917196153
"Gohir.A11G226600","blue",0.876902140676445,-0.979223016184601
"Gohir.D08G155800","turquoise",0.914276436512654,0.979214445755616
"Gohir.D12G212800","turquoise",0.874320340696782,0.979172270654472
"Gohir.A10G066400","turquoise",0.757045499481044,0.978957568180926
"Gohir.D12G013600","blue",0.921407463885165,-0.978877385549273
"Gohir.D06G089300","blue",0.934103321558876,-0.978825958283411
"Gohir.A11G013200","turquoise",0.658318195337544,0.978804044805423
"Gohir.D11G099700","blue",0.949551606501973,-0.978724796758256
"Gohir.D03G052100","turquoise",0.870612509943355,0.978701849922
"Gohir.A07G088400","blue",0.940884988656083,-0.978670084714457
"Gohir.A08G081200","turquoise",0.837679958862699,0.978599072243944
"Gohir.D05G282500","turquoise",0.909141999477647,0.978589664929552
"Gohir.A13G229000","blue",0.886601498048996,-0.978430687736621
"Gohir.D05G119000","turquoise",0.756437400410373,0.978408323445939
"Gohir.D08G191800","blue",0.914057169555885,-0.978362130518748
"Gohir.D11G025601","blue",0.9053557185777,-0.97835681151471
"Gohir.D11G248900","turquoise",0.814733022881753,0.978246318735254
"Gohir.D04G117100","blue",0.74388763064724,-0.97820522536672
"Gohir.A10G232015","turquoise",0.897108357745218,0.978129224919468
"Gohir.D04G077532","turquoise",0.885052007729075,0.978054381253478
"Gohir.A11G268900","turquoise",0.918654809631239,0.978026792688701
"Gohir.A05G279400","blue",0.921104420207652,-0.97796769898606
"Gohir.D02G065400","blue",0.930002084323795,-0.977961578340133
"Gohir.D03G058300","blue",0.870757712183762,-0.977909156263832
"Gohir.A11G261700","turquoise",0.857145547021834,0.977904791998056
"Gohir.A03G030000","turquoise",0.903856339161165,0.97789235162239
"Gohir.D09G080900","turquoise",0.895629663225174,0.977842343486006
"Gohir.D04G002900","turquoise",0.941128895308644,0.977805529991848
"Gohir.D07G234800","turquoise",0.932615203624448,0.97780140678846
"Gohir.D09G139400","blue",0.944277209435595,-0.977727952248885
"Gohir.A09G076900","turquoise",0.885050303978087,0.977697505533508
"Gohir.A11G029261","turquoise",0.781597120702413,0.977662560704834
"Gohir.A03G152900","turquoise",0.906637308356115,0.977640359378397
"Gohir.A08G140700","blue",0.932565837496939,-0.977528285574084
"Gohir.D05G169800","blue",0.785490483010777,-0.977402593773694
"Gohir.D12G144400","turquoise",0.939430864733448,0.977363125317743
"Gohir.A05G138200","turquoise",0.903813025893353,0.977359425388568
"Gohir.A11G206100","blue",0.752219430758593,-0.977339020453723
"Gohir.A10G229400","turquoise",0.979341144141465,0.977259916815154
"Gohir.A05G337466","turquoise",0.937325082590587,0.97725461218207
"Gohir.D05G323200","turquoise",0.862050859071322,0.977108603081167
"Gohir.D11G073400","blue",0.915378629715221,-0.977081658341201
"Gohir.D13G087000","blue",0.939574677759892,-0.977061618333707
"Gohir.D07G122066","turquoise",0.880758963377821,0.976888412013085
"Gohir.A05G348300","turquoise",0.824015414848661,0.976824694270151
"Gohir.D04G110600","turquoise",0.956554083051373,0.976823557977382
"Gohir.A09G050800","blue",0.869895335922276,-0.976805242091297
"Gohir.D02G107000","blue",0.948704971033855,-0.976790192715175
"Gohir.D08G220500","blue",0.931532132882691,-0.976754507716324
"Gohir.D05G315200","turquoise",0.83455725265692,0.976728955320298
"Gohir.D11G154500","turquoise",0.954666552354133,0.97667883591017
"Gohir.D08G218700","turquoise",0.939166439615248,0.97659608432636
"Gohir.D05G364300","turquoise",0.839907057528686,0.976594345916709
"Gohir.A13G119500","turquoise",0.861192878308111,0.976490191625756
"Gohir.D11G286000","turquoise",0.909793380949326,0.976478090237385
"Gohir.A01G001300","blue",0.896810320857225,-0.97637200107567
"Gohir.A05G212500","blue",0.949576583229601,-0.976227264398785
"Gohir.A01G136300","blue",0.966218898429701,-0.976179769768
"Gohir.A13G181850","turquoise",0.863358827498518,0.976123153060792
"Gohir.A10G133600","blue",0.844695829001127,-0.976109118282316
"Gohir.A11G064200","blue",0.923599067922071,-0.976089696792702
"Gohir.D04G181300","blue",0.947942408780162,-0.976060314671232
"Gohir.A11G223900","blue",0.938385491867592,-0.976046181325563
"Gohir.A11G293400","turquoise",0.800602831749853,0.976033392332975
"Gohir.D09G247800","blue",0.919111707555249,-0.976013834631312
"Gohir.D09G241100","blue",0.973898050858532,-0.975909496685504
"Gohir.D02G225300","turquoise",0.802142380336637,0.975855414258183
"Gohir.D10G235100","blue",0.782775276492546,-0.975749628172344
"Gohir.D05G144000","blue",0.922117536557396,-0.975699716724233
"Gohir.A11G152400","blue",0.962817976088373,-0.975694825440793
"Gohir.A06G090300","blue",0.917527038038454,-0.975684884433436
"Gohir.A13G006100","turquoise",0.906652246154713,0.975664838318004
"Gohir.A03G063900","turquoise",0.899423386021337,0.9756444079027
"Gohir.A08G163000","turquoise",0.89157543295258,0.975592871840893
"Gohir.A11G004301","turquoise",0.885036333523791,0.975558223563765
"Gohir.A08G201500","turquoise",0.938538563577245,0.975498243451811
"Gohir.A06G138700","turquoise",0.939153200177801,0.975481906470322
"Gohir.D01G078400","blue",0.917253686095816,-0.975476918663405
"Gohir.A05G388300","turquoise",0.952385366129204,0.975426566600509
"Gohir.A01G097900","turquoise",0.777233236762134,0.975424582282979
"Gohir.A05G240700","turquoise",0.862274487982873,0.97542136295692
"Gohir.D07G238200","blue",0.880775923584915,-0.975243195530238
"Gohir.A05G234100","turquoise",0.897038007565509,0.975223225296095
"Gohir.A12G092700","turquoise",0.962316573305264,0.975219905141418
"Gohir.A05G156700","blue",0.648900015567048,-0.975174999278185
"Gohir.A06G100200","turquoise",0.951014576772766,0.975087278240004
"Gohir.D07G027700","turquoise",0.817832403501218,0.974903637502714
"Gohir.D12G179400","turquoise",0.715167629932445,0.974880344116404
"Gohir.D08G264200","turquoise",0.918909594951715,0.974880070527332
"Gohir.D13G238900","turquoise",0.933776727325223,0.974869865502629
"Gohir.D04G028400","turquoise",0.930522917733527,0.974840995360234
"Gohir.D12G059800","blue",0.968172959831735,-0.974832692525004
"Gohir.A11G294400","turquoise",0.879018601712907,0.974787257741261
"Gohir.A07G035900","turquoise",0.653814183590419,0.974751852397961
"Gohir.D07G198700","blue",0.945829920580486,-0.974738385570118
"Gohir.A11G181100","turquoise",0.887017560171154,0.974734037676088
"Gohir.D07G145900","blue",0.954071030399417,-0.9747237076783
"Gohir.D09G156700","turquoise",0.93704733597354,0.974695719807917
"Gohir.D03G130500","turquoise",0.956039181542539,0.974677050732402
"Gohir.D01G061800","turquoise",0.919462772080612,0.974656756116208
"Gohir.A07G219700","turquoise",0.955368963771879,0.974633818095872
"Gohir.A07G120900","blue",0.945534279749838,-0.974620155626573
"Gohir.D02G031600","blue",0.978831538127616,-0.97461977146111
"Gohir.A08G175600","turquoise",0.931532902056041,0.974581176248189
"Gohir.D09G028800","turquoise",0.825546960950284,0.974542017667103
"Gohir.A02G040600","turquoise",0.896165315706097,0.974512235342834
"Gohir.D01G190600","turquoise",0.960160727937639,0.974511852037033
"Gohir.D11G019500","blue",0.959618915255999,-0.974415054519998
"Gohir.A11G078300","blue",0.896430631418562,-0.97436606467226
"Gohir.A13G004100","turquoise",0.953199307455676,0.974340826162018
"Gohir.D02G028700","turquoise",0.705530142094085,0.974318034509587
"Gohir.A01G200600","turquoise",0.962710659882916,0.974297220502215
"Gohir.A07G176400","blue",0.974208941921877,-0.974279054130673
"Gohir.A09G161000","turquoise",0.91771400738708,0.974182884522005
"Gohir.A12G118300","blue",0.940406528560438,-0.974143086352477
"Gohir.D04G085000","blue",0.953960742378918,-0.97408563410872
"Gohir.A06G028700","turquoise",0.914663743451608,0.974060057181601
"Gohir.A11G225204","turquoise",0.823978623389322,0.973942142045104
"Gohir.A05G159800","turquoise",0.893539844247046,0.973931514708168
"Gohir.A11G025800","blue",0.932430586368193,-0.973909283732637
"Gohir.A09G240400","blue",0.94419882912227,-0.9739019722514
"Gohir.A07G022172","turquoise",0.77185393101064,0.973802635016807
"Gohir.A02G018300","turquoise",0.876957737861033,0.973762210341818
"Gohir.D06G006400","blue",0.828237350505914,-0.97366012519731
"Gohir.D10G138900","turquoise",0.817414717259362,0.97365390404016
"Gohir.D02G218600","blue",0.917313810695808,-0.973588620339346
"Gohir.D10G203500","blue",0.944102074962748,-0.973572029540991
"Gohir.A10G109500","turquoise",0.930743270282102,0.973568306848433
"Gohir.D12G072600","blue",0.949039566198708,-0.973516674825317
