gene,program
Gohir.D02G184300,10
Gohir.A09G106900,1
Gohir.D13G197200,10
Gohir.A13G191800,10
Gohir.A02G067900,10
Gohir.A09G213654,10
Gohir.A01G192400,10
Gohir.A13G032700,10
Gohir.A12G057200,10
Gohir.D05G236500,6
Gohir.D13G189828,1
Gohir.A08G022500,6
Gohir.D13G087300,1
Gohir.D08G074600,1
Gohir.A08G006100,1
Gohir.A12G175160,10
Gohir.D03G049700,10
Gohir.D10G176900,1
Gohir.A08G125900,10
Gohir.A10G137100,10
Gohir.D08G016400,1
Gohir.A09G233500,1
Gohir.1Z050092,10
Gohir.D05G254800,10
Gohir.D10G222000,1
Gohir.A07G015800,10
Gohir.A08G006500,6
Gohir.D07G060400,1
Gohir.A05G241300,10
Gohir.D04G162400,1
Gohir.A10G031500,1
Gohir.D11G025601,1
Gohir.A05G234200,6
Gohir.A09G051600,10
Gohir.D07G079100,10
Gohir.D11G328300,6
Gohir.D05G031200,10
Gohir.A07G140000,10
Gohir.D13G017200,10
Gohir.A12G269700,1
Gohir.A10G105700,10
Gohir.D12G270200,1
Gohir.A04G023700,1
Gohir.D02G038100,10
Gohir.D01G035100,10
Gohir.D06G125800,10
Gohir.D03G038300,6
Gohir.A13G188400,10
Gohir.D08G131900,1
Gohir.D06G152900,10
Gohir.A07G074400,10
Gohir.A05G252900,10
Gohir.A05G079700,10
Gohir.D11G221900,6
Gohir.D03G117800,0
Gohir.D12G037100,1
Gohir.D08G074900,10
Gohir.A13G231200,10
Gohir.A07G026600,10
Gohir.A10G171000,10
Gohir.D13G080400,0
Gohir.D02G041200,1
Gohir.A09G017900,1
Gohir.A05G180600,10
Gohir.A08G220700,9
Gohir.D12G019400,10
Gohir.A03G109800,1
Gohir.D10G032300,1
Gohir.A03G004500,1
Gohir.D10G207100,6
Gohir.D08G267800,10
Gohir.D10G157700,6
Gohir.A12G261866,10
Gohir.D04G161500,1
Gohir.A07G057100,10
Gohir.D07G160350,10
Gohir.A03G193000,10
Gohir.A10G102211,1
Gohir.A09G175450,10
Gohir.D01G102320,10
Gohir.D11G317100,1
Gohir.D02G025101,1
Gohir.D11G333500,10
Gohir.D12G003000,1
Gohir.A13G160500,0
Gohir.D02G019601,1
Gohir.A10G102266,1
Gohir.D09G031000,6
Gohir.A01G040500,10
Gohir.A11G210900,10
Gohir.A12G264800,10
Gohir.A07G107400,1
Gohir.D09G028800,6
Gohir.D12G222600,6
Gohir.D06G205900,10
Gohir.D04G015700,1
Gohir.A06G043200,1
Gohir.D12G010700,0
Gohir.D11G325601,1
Gohir.D11G203600,1
Gohir.A04G023800,1
Gohir.A05G247720,6
Gohir.A13G224300,1
Gohir.A06G033800,10
Gohir.A12G184000,1
Gohir.A05G115900,10
Gohir.D05G196400,10
Gohir.D10G129500,10
Gohir.A07G096300,6
Gohir.D02G046600,6
Gohir.D12G077400,1
Gohir.D08G108700,1
Gohir.A02G110900,10
Gohir.D12G274600,6
Gohir.D06G034700,10
Gohir.D11G325233,6
Gohir.D11G013500,6
Gohir.D10G149800,10
Gohir.D02G236000,10
Gohir.D05G114900,0
Gohir.A03G004050,1
Gohir.A04G019900,6
Gohir.D05G040600,10
Gohir.D09G064000,10
Gohir.A01G203000,1
Gohir.A09G113900,10
Gohir.D03G173100,10
Gohir.D01G198300,6
Gohir.A11G195400,10
Gohir.D06G192200,0
Gohir.A05G386800,0
Gohir.A05G389200,1
Gohir.D10G061200,6
Gohir.D01G156000,10
Gohir.D13G046900,1
Gohir.D02G048800,10
Gohir.D08G208200,1
Gohir.A12G202200,0
Gohir.D06G019054,10
Gohir.A05G029800,10
Gohir.D01G014800,6
Gohir.D04G088100,10
Gohir.1Z049666,10
Gohir.A05G020925,10
Gohir.A04G119900,1
Gohir.D02G111300,1
Gohir.D11G028400,10
Gohir.D09G090600,10
Gohir.D10G140200,10
Gohir.A12G181400,1
Gohir.A02G013500,1
Gohir.D04G154100,1
Gohir.D06G142200,10
Gohir.A05G033600,7
Gohir.D02G115900,0
Gohir.A13G072133,1
Gohir.A11G025800,9
Gohir.D10G207000,4
Gohir.A13G183550,1
Gohir.D11G161100,10
Gohir.A11G090900,6
Gohir.A01G220400,6
Gohir.A09G103000,10
Gohir.A11G042900,1
Gohir.A09G030900,6
Gohir.D11G316300,1
Gohir.A06G185600,0
Gohir.A10G230232,10
Gohir.D09G150000,0
Gohir.D01G035300,10
Gohir.D02G169600,10
Gohir.A08G246600,10
Gohir.D09G111000,10
Gohir.D02G153000,1
Gohir.D10G146000,1
Gohir.D04G126600,1
Gohir.D11G339900,1
Gohir.A01G117000,10
Gohir.A08G171500,0
Gohir.A10G151500,6
Gohir.D11G169100,10
Gohir.D09G103700,1
Gohir.D13G028400,10
Gohir.A01G209200,6
Gohir.D10G114500,10
Gohir.D13G076600,10
Gohir.D10G121500,10
Gohir.A12G220300,6
Gohir.A11G222500,1
Gohir.A03G139500,10
Gohir.A13G016100,10
Gohir.A08G210400,6
Gohir.A11G258800,10
Gohir.A02G040600,6
Gohir.A03G049500,0
Gohir.A05G382100,10
Gohir.D08G206800,0
Gohir.D04G017000,10
Gohir.D08G016500,1
Gohir.D01G193000,1
Gohir.A13G077100,10
Gohir.D12G061800,1
Gohir.A02G102900,6
Gohir.A07G010400,1
Gohir.D02G009800,0
Gohir.A12G039900,10
Gohir.D11G272100,1
Gohir.A08G249948,0
Gohir.A03G129300,1
Gohir.A04G044400,0
Gohir.A08G066200,10
Gohir.D03G093600,10
Gohir.D07G015500,10
Gohir.A12G059200,10
Gohir.D13G132000,10
Gohir.D07G002000,1
Gohir.D03G168000,6
Gohir.A09G105400,10
Gohir.A01G013500,6
Gohir.A11G042675,1
Gohir.D11G333700,6
Gohir.A12G061900,1
Gohir.A02G069400,10
Gohir.D01G173000,10
Gohir.A10G145200,10
Gohir.D06G013800,10
Gohir.D12G136000,1
Gohir.A09G004950,10
Gohir.A12G132400,1
Gohir.A04G058100,10
Gohir.D10G146800,10
Gohir.D10G018200,1
Gohir.A02G153100,1
Gohir.D08G014000,10
Gohir.D10G178100,10
Gohir.A02G022500,6
Gohir.A03G000048,10
Gohir.D10G220800,10
Gohir.A05G069900,10
Gohir.D02G034800,6
Gohir.A04G139200,1
Gohir.A12G272000,0
Gohir.A01G009801,10
Gohir.A01G056900,0
Gohir.A08G065900,1
Gohir.D06G155800,1
Gohir.A10G233300,1
Gohir.D01G209400,6
Gohir.A12G120200,1
Gohir.D02G006700,10
Gohir.A02G065100,1
Gohir.A04G020000,6
Gohir.A10G078400,1
Gohir.D02G047600,10
Gohir.A12G229100,10
Gohir.A11G039400,10
Gohir.D02G029700,6
Gohir.D10G206900,6
Gohir.A08G174100,10
Gohir.A10G017900,1
Gohir.D07G188300,10
Gohir.D12G056900,10
Gohir.A10G121200,1
Gohir.D12G164700,10
Gohir.D13G234600,1
Gohir.A06G146000,6
Gohir.A05G378400,7
Gohir.A05G336400,1
Gohir.A05G234000,6
Gohir.A13G008300,10
Gohir.D08G237300,9
Gohir.D11G219900,6
Gohir.A09G180400,1
Gohir.D11G347000,6
Gohir.D07G148900,10
Gohir.A10G153800,10
Gohir.D11G042700,10
Gohir.D11G025651,9
Gohir.A12G210100,1
Gohir.D06G012100,1
Gohir.D02G034300,1
Gohir.A09G235600,0
Gohir.A10G170100,6
Gohir.D10G176600,1
Gohir.D03G072100,10
Gohir.A08G142500,10
Gohir.A04G120900,6
Gohir.D11G344800,10
Gohir.D12G028700,10
Gohir.A08G006300,1
Gohir.D12G062400,1
Gohir.D06G129600,6
Gohir.D09G216500,1
Gohir.A10G165200,10
Gohir.A11G297500,1
Gohir.D05G363900,6
Gohir.D06G033900,1
Gohir.D08G012900,10
Gohir.D03G027300,1
Gohir.1Z049779,10
Gohir.D10G075000,1
Gohir.1Z050180,10
Gohir.D05G032700,10
Gohir.D13G020000,10
Gohir.A06G161400,1
Gohir.D07G113800,1
Gohir.D09G122800,6
Gohir.D04G130700,10
Gohir.A05G303700,1
Gohir.A11G251300,1
Gohir.D12G246900,1
Gohir.A02G134500,10
Gohir.A06G205000,1
Gohir.D09G226300,1
Gohir.D13G183400,1
Gohir.A01G015900,10
Gohir.D07G160500,1
Gohir.D06G140300,10
Gohir.A06G024400,10
Gohir.D08G147000,10
Gohir.A05G227932,6
Gohir.D10G201700,1
Gohir.A03G158000,1
Gohir.A03G143400,10
Gohir.D12G188500,6
Gohir.A06G003200,1
Gohir.A02G027000,6
Gohir.D10G112300,10
Gohir.D12G174300,10
Gohir.D01G103200,4
Gohir.A01G164560,10
Gohir.D06G178600,1
Gohir.D01G027600,6
Gohir.A11G316600,1
Gohir.D05G376600,0
Gohir.A12G103100,1
Gohir.A05G039100,10
Gohir.D03G138900,1
Gohir.A08G094500,10
Gohir.D04G096692,10
Gohir.D06G204800,10
Gohir.A10G170200,1
Gohir.A09G240232,9
Gohir.D11G049100,10
Gohir.D11G190200,10
Gohir.D01G202400,1
Gohir.D11G261700,1
Gohir.D05G119300,10
Gohir.D12G059900,9
Gohir.A12G221200,10
Gohir.A05G099000,1
Gohir.D10G073700,10
Gohir.A11G234500,6
Gohir.D12G108200,10
Gohir.D07G188500,0
Gohir.D08G107000,10
Gohir.A09G090500,10
Gohir.A07G132400,1
Gohir.D06G008800,7
Gohir.A09G227900,10
Gohir.A02G065300,1
