gene,umap1,umap2,program
Gohir.A01G162700,10.281696,2.165863,10
Gohir.A10G210900,-7.1233516,-0.20711043,1
Gohir.D12G010800,12.766178,1.9648283,10
Gohir.D11G152600,10.796792,1.9788514,10
Gohir.A11G146500,10.5685,2.1820195,10
Gohir.D07G215500,11.257554,1.9638143,10
Gohir.D10G245500,-4.5188437,-0.32617575,1
Gohir.A08G143800,10.27108,2.9601371,10
Gohir.A07G202600,11.391578,1.6642275,10
Gohir.D10G219200,-7.26568,-0.064043425,1
Gohir.A12G148801,10.799,1.8010724,10
Gohir.D04G172700,13.073716,0.33948663,0
Gohir.A06G148300,11.405283,2.5129678,10
Gohir.A05G235100,9.003945,4.1914387,10
Gohir.A03G119800,-2.0646348,0.49690285,4
Gohir.D03G060608,11.311115,4.0581236,10
Gohir.A11G154600,12.650435,2.600017,10
Gohir.D06G146300,10.45253,2.1144583,10
Gohir.D05G124700,-5.1555805,-2.2302125,1
Gohir.D06G154200,11.865874,2.6607807,10
Gohir.D11G263200,-5.5111184,-2.299944,1
Gohir.A07G209400,10.981389,2.1922786,10
Gohir.A06G157900,11.103986,1.3542689,10
Gohir.D09G116900,12.345156,2.7475433,10
Gohir.D07G208800,11.192473,1.9324332,10
Gohir.D05G145900,11.524575,1.6128494,10
Gohir.D02G196000,9.803427,2.5486073,10
Gohir.A06G021200,13.589401,3.397232,10
Gohir.A05G032800,11.276581,3.0034838,10
Gohir.D09G160600,13.66804,2.8008814,10
Gohir.D05G359200,10.509207,1.5933794,10
Gohir.A05G042300,9.842215,4.1036654,10
Gohir.D07G171700,9.932137,2.4884908,10
Gohir.D02G142600,-3.331508,-0.26857919,1
Gohir.D03G177466,10.205918,3.1767414,10
Gohir.D02G009400,-4.27709,1.8645,1
Gohir.D08G067300,-7.061732,-0.3171335,1
Gohir.A13G162600,-6.408404,-1.8044875,1
Gohir.A11G226800,10.390426,2.7507339,10
Gohir.A08G058000,-5.5939546,-0.05036093,1
Gohir.A13G181300,9.893772,4.3046145,10
Gohir.A11G188100,10.792502,1.8865944,10
Gohir.D05G388501,9.758395,2.6489856,10
Gohir.A01G103000,9.709754,4.0860224,10
Gohir.A05G168100,12.93481,0.80289215,0
Gohir.A05G249500,-6.2100153,-0.18613808,1
Gohir.A12G112100,12.526206,2.8530345,10
Gohir.D05G361900,9.7352295,2.1151254,10
Gohir.D07G100700,-5.807161,-2.9788587,1
Gohir.D12G152700,10.858034,1.4812144,10
Gohir.D11G230800,10.468351,2.6489422,10
Gohir.D01G170100,12.437072,2.8789167,10
Gohir.A09G079600,11.425073,3.7992177,10
Gohir.D05G034200,10.265517,3.2882957,10
Gohir.D13G185900,-4.8916593,-3.600616,6
Gohir.A01G227800,10.675142,1.7890341,10
Gohir.A03G216800,10.385699,2.520364,10
Gohir.D05G250700,10.014908,4.611501,10
Gohir.D01G217600,10.613385,1.7190428,10
Gohir.A07G233000,10.196572,3.049817,10
Gohir.A13G030500,11.068143,2.6192985,10
Gohir.D06G190300,12.913769,2.9205399,10
Gohir.A03G119200,-3.5303488,-0.32887176,1
Gohir.D05G102900,-5.22903,0.3540433,1
Gohir.A11G013200,-5.1427197,-3.5206368,6
Gohir.A03G109600,12.312936,-0.1791714,0
Gohir.A11G135000,10.391259,2.4224675,10
Gohir.D08G075700,11.189678,3.1868951,10
Gohir.A03G002400,-4.3095784,-3.6688643,6
Gohir.D01G007500,11.848477,2.6414206,10
Gohir.D10G232100,-5.660678,-2.5276642,1
Gohir.A10G109500,-4.1436553,-2.1512764,6
Gohir.A07G164380,10.167021,1.7523887,10
Gohir.A12G185700,-4.0578394,-1.8973218,1
Gohir.1Z049966,12.319145,2.0341816,10
Gohir.A12G082000,11.592643,2.903232,10
Gohir.D07G104700,11.926614,2.283925,10
Gohir.A07G128600,11.073906,1.5071478,10
Gohir.D11G263100,-5.6758833,-2.9853501,1
Gohir.A04G050200,11.185901,1.7192515,10
Gohir.D13G028500,11.005387,2.984929,10
Gohir.D09G214600,11.296372,2.8639889,10
Gohir.D01G143800,12.633352,1.111143,0
Gohir.A11G063600,13.94498,0.5638616,0
Gohir.D05G181400,10.209882,3.6618993,10
Gohir.D05G201400,-4.354593,-3.248681,6
Gohir.D07G115000,11.115822,2.0320137,10
Gohir.D10G028400,11.1125,2.5407126,10
Gohir.D02G217900,-3.79023,-3.258378,6
Gohir.A02G051800,-6.750349,-0.8339437,1
Gohir.A01G189100,9.728647,4.0292444,10
Gohir.D12G059600,11.655325,3.6739924,10
Gohir.D13G087000,-6.668399,1.9337107,1
Gohir.D11G025575,-6.739629,1.123672,1
Gohir.D02G070900,-6.4967833,-2.092566,1
Gohir.A05G131700,10.576535,2.2266636,10
Gohir.A01G164100,11.323314,3.1998944,10
Gohir.A10G211000,-7.204378,-0.13161814,1
Gohir.A09G058400,-6.3576093,-1.8032732,1
Gohir.D10G176500,-6.2782826,-1.2596798,1
Gohir.D05G070100,11.883373,1.9177065,10
Gohir.A10G169800,-5.8561125,-0.7514812,1
Gohir.A08G039300,13.570745,3.3009322,10
Gohir.D09G095100,-6.660474,-2.1215873,1
Gohir.D02G238400,9.807191,2.2800167,10
Gohir.D09G216200,10.58979,4.8155656,10
Gohir.A01G150600,12.686346,1.1343789,0
Gohir.A06G121600,11.096299,1.935874,10
Gohir.D05G134600,10.904763,2.8867707,10
Gohir.D05G242800,13.256205,3.191363,10
Gohir.A09G198700,12.508905,4.0951605,10
Gohir.D05G330700,11.611615,1.5979095,10
Gohir.D04G051300,-7.179641,-0.06409125,1
Gohir.A08G203200,-7.334345,0.2871048,1
Gohir.D04G144000,-5.8074517,-0.2584541,1
Gohir.A05G359000,11.133901,5.150831,10
Gohir.A13G069300,11.199615,1.7325299,10
Gohir.D03G172100,-2.5121963,-3.5885348,6
Gohir.A08G067200,11.65557,2.8695948,10
Gohir.A03G196700,-3.7288556,-3.612744,6
Gohir.A03G000200,-4.706722,-3.1786397,6
Gohir.A03G158100,-3.957638,-1.4925169,1
Gohir.D10G230800,-5.137039,-2.8226845,6
Gohir.D12G128600,11.439857,1.7371655,10
Gohir.A09G151200,-4.2163825,0.05908135,1
Gohir.A05G123700,-5.5624094,-2.6553717,1
Gohir.D12G239200,10.465522,2.8115022,10
Gohir.A09G213700,10.973825,4.0241485,10
Gohir.A08G083500,-6.724489,1.936922,1
Gohir.A03G000018,10.334731,3.258831,10
Gohir.A03G038500,-5.6312094,1.0058692,1
Gohir.D12G115700,12.929842,3.722117,10
Gohir.A13G181850,-4.4926705,-4.0711403,6
Gohir.D09G048500,14.428495,2.3423438,10
Gohir.A12G142400,-5.098981,0.8971243,1
Gohir.D09G092901,12.710025,3.088243,10
Gohir.D04G124200,12.5368595,3.9886367,10
Gohir.D08G194400,11.32811,2.9358842,10
Gohir.A11G081900,-6.9594774,-0.5074302,1
Gohir.A07G100500,11.406766,2.64817,10
Gohir.A01G069000,13.524393,1.6111245,0
Gohir.A13G091800,-6.780249,1.7958663,1
Gohir.A06G001800,-5.467606,-3.0612636,1
Gohir.A09G047500,14.461755,3.4333923,10
Gohir.D05G131200,10.508889,2.2737446,10
Gohir.D02G073900,10.335884,3.0659223,10
Gohir.D05G379600,-7.2480006,0.14767326,1
Gohir.A12G010500,13.592692,4.138453,10
Gohir.D03G093800,9.570143,4.19529,10
Gohir.A13G030400,11.927138,2.7966099,10
Gohir.A08G204100,12.01412,1.8448561,10
Gohir.D05G237400,9.277714,4.2059383,10
Gohir.A11G029900,10.587748,3.751357,10
Gohir.D11G007200,-3.7392,-4.3429046,6
Gohir.D05G044000,10.005716,3.8559885,10
Gohir.D03G169900,-3.9648664,-3.5571258,6
Gohir.D03G060613,11.110366,3.056557,10
Gohir.D13G133600,8.999162,4.4957,10
Gohir.A08G176900,11.157129,2.4589221,10
Gohir.A09G095400,-6.1532245,-1.5102623,1
Gohir.A11G328500,10.390307,3.393687,10
Gohir.A02G009116,11.670199,3.1356397,10
Gohir.D12G010900,12.830922,3.9877625,10
Gohir.D05G249900,-5.4300566,-0.36229536,1
Gohir.A09G065000,10.267144,2.823478,10
Gohir.D05G193700,-7.3043127,0.2898735,1
Gohir.D11G067900,14.041305,0.688856,0
Gohir.D05G196100,-6.647839,-0.50357443,1
Gohir.D10G162900,9.756034,3.266461,10
Gohir.A11G181300,-7.388132,0.50859374,1
Gohir.D01G177500,10.445609,3.037682,10
Gohir.D09G202800,-5.278062,-2.806307,6
Gohir.D05G364000,-4.237212,-1.6326187,1
Gohir.D12G004300,10.4854,1.8409855,10
Gohir.A13G226300,12.400345,4.4042387,10
Gohir.A12G035700,-5.334555,-1.9334484,1
Gohir.D04G006000,11.583834,2.0574865,10
Gohir.A09G213652,11.146208,3.2714555,10
Gohir.D10G061400,13.39453,3.6985345,10
Gohir.A06G164200,9.267825,4.183255,10
Gohir.D01G181200,-4.410551,-0.0072927144,1
Gohir.A06G149700,-5.6392455,-3.1417,1
Gohir.D11G312690,-5.562537,-2.441804,1
Gohir.D12G147300,-4.6149707,0.9525376,1
Gohir.D12G012400,12.342028,4.236708,10
Gohir.A02G112704,12.240473,3.5109692,10
Gohir.A01G179300,12.219705,2.8860986,10
Gohir.A05G099800,12.205327,0.54969835,0
Gohir.D01G160100,10.430783,4.9074793,10
Gohir.D05G302700,-6.9204154,-1.1821579,1
Gohir.D11G312636,-4.605729,-1.8982085,1
Gohir.A12G012000,12.172276,4.7909594,10
Gohir.D13G201700,13.631424,4.762427,10
Gohir.D04G074900,-6.2575974,-2.495716,1
Gohir.A11G297600,-5.551139,-2.2038546,1
Gohir.D07G032851,10.741801,3.0331585,10
Gohir.A08G144400,-4.6044226,-3.206318,6
Gohir.A04G027500,-4.7619796,-0.17205352,1
Gohir.D11G228100,-6.288065,-2.059847,1
Gohir.D08G220300,-7.355397,0.5266941,1
Gohir.D04G012150,13.855411,4.763795,10
Gohir.A12G232400,-4.3598495,-0.62238806,1
Gohir.A13G191900,12.147547,1.8024621,10
Gohir.A11G219100,-6.404116,-2.1564865,1
Gohir.D05G242600,10.19186,3.500692,10
Gohir.A11G293300,-5.6471267,-2.928117,1
Gohir.D11G342600,-4.7101855,-3.093224,6
Gohir.A07G056100,-5.99386,-0.7638203,1
Gohir.D13G192300,-6.429907,-1.3880632,1
Gohir.D05G358800,13.445064,3.2029784,10
Gohir.A11G168500,-5.3879976,-1.5499172,1
Gohir.A05G178000,9.982138,3.604789,10
Gohir.A03G160900,12.320371,1.434997,10
Gohir.D11G086600,-6.86612,-0.30617794,1
Gohir.D11G177500,13.248176,3.6521585,10
Gohir.A09G224000,-5.719997,-2.3250158,1
Gohir.D11G232100,13.735071,1.8324094,10
Gohir.D08G097300,9.165168,2.0205078,10
Gohir.A05G014300,12.87296,0.8891016,0
Gohir.A05G398900,10.003509,2.5757637,10
Gohir.D08G146300,11.568473,2.345463,10
Gohir.D13G195400,11.478701,1.6570863,10
Gohir.D02G014550,-5.0340037,0.78682935,1
Gohir.D05G116300,11.335607,1.5456753,10
Gohir.A08G093500,9.268067,2.2151146,10
Gohir.D08G029800,-6.3934436,-2.2539191,1
Gohir.D08G195200,11.486316,1.8482817,10
Gohir.A10G126400,10.32533,5.8652363,10
Gohir.A01G169100,10.173103,5.0767345,10
Gohir.D12G079000,11.110566,3.1584306,10
Gohir.D11G204500,-4.610835,-1.6518936,1
Gohir.A05G234100,-3.6001565,-2.5997477,6
Gohir.D07G113700,11.458504,3.0043814,10
Gohir.D07G224000,-3.1049013,-0.37724155,1
Gohir.A12G062500,-6.064259,-2.89954,1
Gohir.D01G142100,12.33857,0.037986767,0
Gohir.D05G243900,-3.9090838,-0.18090639,1
Gohir.D09G007600,11.124842,4.5220804,10
Gohir.A07G028825,10.592612,3.1477826,10
Gohir.A13G149200,-5.066358,0.1207133,1
Gohir.D10G060600,-6.845544,0.7050176,1
Gohir.D04G183800,12.025121,1.5309464,0
Gohir.D11G046400,-7.1265855,-0.3118487,1
Gohir.D13G197300,12.468225,1.4779623,10
Gohir.D08G024000,11.62413,4.278944,10
Gohir.A12G135000,-6.785529,1.1807323,1
Gohir.A01G181900,9.991222,4.8064704,10
Gohir.D01G043300,14.212108,2.0783777,10
Gohir.A10G231400,-3.4721909,-1.7339511,6
Gohir.D11G347400,10.727223,3.408674,10
Gohir.A08G019200,-6.785386,-1.5471759,1
Gohir.D11G312500,-3.4756994,-1.1438191,1
Gohir.D11G240900,-2.9272945,-0.5683306,1
Gohir.D08G165400,-3.7566922,-3.0923295,6
Gohir.A05G116400,-7.125735,-0.48838955,1
Gohir.D11G316600,-6.3352704,-0.26948947,1
Gohir.D05G174600,10.604415,3.4213176,10
Gohir.D04G119900,11.446623,1.4615512,10
Gohir.D07G175600,12.738865,1.6548971,10
Gohir.A07G014066,10.394262,3.820151,10
Gohir.D11G072800,13.010381,3.8235874,10
Gohir.D08G135700,-5.265807,-3.3817406,6
Gohir.D05G117200,-7.0635858,-0.5021904,1
Gohir.D06G120100,12.173154,5.3814445,10
Gohir.A13G123100,10.952211,0.7022952,0
Gohir.A07G190800,9.678614,1.9305961,10
Gohir.A06G015800,12.388633,3.097738,10
Gohir.A10G028000,11.121771,2.1463616,10
Gohir.D11G045900,-4.681332,-3.7171073,6
Gohir.A09G154300,11.777232,1.8557844,10
Gohir.D07G013766,10.532774,3.8479638,10
Gohir.D07G061400,9.912163,4.764644,10
Gohir.A01G195000,-6.256075,-1.9468338,1
Gohir.D05G249500,-3.7076511,-3.3676965,6
Gohir.D11G025500,-6.022592,3.4529896,9
Gohir.A07G089500,9.502705,2.9337084,10
Gohir.A10G118720,11.460407,3.7633297,10
Gohir.A09G071700,-6.9804,-0.34931475,1
Gohir.D07G042300,12.318268,3.2803864,10
Gohir.A04G025800,9.438068,2.0727053,10
Gohir.D08G056700,10.301683,3.421704,10
Gohir.D07G145100,11.084063,3.087552,10
Gohir.D08G189800,9.231971,1.0478854,0
Gohir.A12G219400,-5.5671034,0.016552676,1
Gohir.A10G117300,9.150747,4.468455,10
Gohir.A02G026500,-3.7587826,-1.1532089,1
Gohir.D01G018100,13.192832,2.4708252,10
Gohir.D02G184300,11.964421,1.6912235,10
Gohir.A09G106900,-6.3986306,1.2552661,1
Gohir.D13G197200,11.311519,1.905319,10
Gohir.A13G191800,10.338849,3.0612288,10
Gohir.A02G067900,10.285276,2.8848927,10
Gohir.A09G213654,12.646089,5.3910885,10
Gohir.A01G192400,11.639355,3.4034996,10
Gohir.A13G032700,11.5665045,3.8844266,10
Gohir.A12G057200,10.300953,4.360043,10
Gohir.D05G236500,-3.2317398,-4.502506,6
Gohir.D13G189828,-5.021699,-2.6553245,1
Gohir.A08G022500,-2.023021,-3.945828,6
Gohir.D13G087300,-7.0108137,1.3578812,1
Gohir.D08G074600,-6.4880934,-1.9805045,1
Gohir.A08G006100,-7.413444,0.36582536,1
Gohir.A12G175160,14.202177,3.5267086,10
Gohir.D03G049700,9.851557,3.3820436,10
Gohir.D10G176900,-5.5014086,-0.6760611,1
Gohir.A08G125900,10.8880415,4.4836006,10
Gohir.A10G137100,10.86018,4.3409047,10
Gohir.D08G016400,-7.3696637,0.37659356,1
Gohir.A09G233500,-6.3539686,-1.6084256,1
Gohir.1Z050092,11.948345,2.5290039,10
Gohir.D05G254800,10.373374,2.788712,10
Gohir.D10G222000,-3.1129391,0.15893243,1
Gohir.A07G015800,11.274645,4.403393,10
Gohir.A08G006500,-4.8267746,-3.5477886,6
Gohir.D07G060400,-6.0460625,-1.3466015,1
Gohir.A05G241300,10.585625,3.734723,10
Gohir.D04G162400,-6.145021,-2.7989771,1
Gohir.A10G031500,-3.106807,-0.49031165,1
Gohir.D11G025601,-5.8251023,1.7112769,1
Gohir.A05G234200,-3.5447805,-4.4222693,6
Gohir.A09G051600,11.850957,1.3308743,10
Gohir.D07G079100,11.584648,4.648704,10
Gohir.D11G328300,-4.471619,-3.7115173,6
Gohir.D05G031200,13.83397,3.6836874,10
Gohir.A07G140000,11.074834,3.191654,10
Gohir.D13G017200,10.757101,3.9829202,10
Gohir.A12G269700,-7.52212,0.5119487,1
Gohir.A10G105700,9.071004,2.9420228,10
Gohir.D12G270200,-7.200423,1.0759575,1
Gohir.A04G023700,-4.2343445,-1.710026,1
Gohir.D02G038100,11.011197,1.5778095,10
Gohir.D01G035100,10.349027,6.1366563,10
Gohir.D06G125800,11.268134,1.790744,10
Gohir.D03G038300,-3.821842,-2.0577252,6
Gohir.A13G188400,10.278698,1.9586548,10
Gohir.D08G131900,-6.6786356,1.690828,1
Gohir.D06G152900,12.793469,3.5120082,10
Gohir.A07G074400,11.328762,4.371214,10
Gohir.A05G252900,10.295868,2.970556,10
Gohir.A05G079700,11.727419,4.1144876,10
Gohir.D11G221900,-3.6269133,-3.5594995,6
Gohir.D03G117800,14.804542,2.344847,0
Gohir.D12G037100,-5.554128,-2.164785,1
Gohir.D08G074900,9.868338,1.8275142,10
Gohir.A13G231200,14.170381,2.419368,10
Gohir.A07G026600,11.796733,5.404699,10
Gohir.A10G171000,13.790949,5.100361,10
Gohir.D13G080400,14.006205,0.8865271,0
Gohir.D02G041200,-7.1820493,0.15768084,1
Gohir.A09G017900,-6.6869574,-0.19849245,1
Gohir.A05G180600,9.139988,1.5216284,10
Gohir.A08G220700,-6.158036,2.2273002,9
Gohir.D12G019400,12.799417,2.834136,10
Gohir.A03G109800,-6.879381,1.631953,1
Gohir.D10G032300,-3.167445,-0.51266426,1
Gohir.A03G004500,-6.4377656,-2.4338923,1
Gohir.D10G207100,-3.685597,-2.723652,6
Gohir.D08G267800,11.298296,4.7287984,10
Gohir.D10G157700,-4.492924,-3.819418,6
Gohir.A12G261866,9.633606,2.0072038,10
Gohir.D04G161500,-5.549699,1.2787086,1
Gohir.A07G057100,9.860588,4.934047,10
Gohir.D07G160350,12.0801325,2.966236,10
Gohir.A03G193000,12.335878,1.7201256,10
Gohir.A10G102211,-7.3545322,0.75992554,1
Gohir.A09G175450,11.873916,3.4608698,10
Gohir.D01G102320,11.268177,2.591361,10
Gohir.D11G317100,-4.711381,-0.042647593,1
Gohir.D02G025101,-6.7722464,-0.118863985,1
Gohir.D11G333500,13.206668,2.8975737,10
Gohir.D12G003000,-4.924386,0.29288673,1
Gohir.A13G160500,12.809803,1.5049942,0
Gohir.D02G019601,-7.175624,0.918664,1
Gohir.A10G102266,-6.9412503,1.7282902,1
Gohir.D09G031000,-3.1661172,-1.7896425,6
Gohir.A01G040500,10.850884,3.1064563,10
Gohir.A11G210900,9.525416,2.2434037,10
Gohir.A12G264800,11.233981,1.3157344,10
Gohir.A07G107400,-5.919921,-0.13300483,1
Gohir.D09G028800,-4.719041,-4.021247,6
Gohir.D12G222600,-2.5660057,-4.0574164,6
Gohir.D06G205900,10.06726,2.2650485,10
Gohir.D04G015700,-6.1224575,-2.102763,1
Gohir.A06G043200,-4.0715146,0.114098646,1
Gohir.D12G010700,12.7202835,1.5026311,0
Gohir.D11G325601,-3.9798179,-1.287442,1
Gohir.D11G203600,-4.834204,-2.259078,1
Gohir.A04G023800,-4.31254,-1.6675557,1
Gohir.A05G247720,-3.1449661,-3.7914171,6
Gohir.A13G224300,-5.476923,-3.2588015,1
Gohir.A06G033800,11.981459,2.1679745,10
Gohir.A12G184000,-6.564821,-2.1322868,1
Gohir.A05G115900,12.5651245,1.7858646,10
Gohir.D05G196400,14.443138,3.75115,10
Gohir.D10G129500,10.709367,4.2624435,10
Gohir.A07G096300,-5.411587,-3.5628679,6
Gohir.D02G046600,-3.5267234,-3.2238076,6
Gohir.D12G077400,-4.6326175,-2.1218996,1
Gohir.D08G108700,-6.487208,-0.6789389,1
Gohir.A02G110900,10.398943,6.286112,10
Gohir.D12G274600,-2.4493358,-3.682626,6
Gohir.D06G034700,12.744436,2.548878,10
Gohir.D11G325233,-4.1568823,-4.446237,6
Gohir.D11G013500,-4.554755,-2.5902224,6
Gohir.D10G149800,9.590429,4.660123,10
Gohir.D02G236000,10.127047,4.501476,10
Gohir.D05G114900,11.491692,0.9400109,0
Gohir.A03G004050,-7.0347114,1.443496,1
Gohir.A04G019900,-1.8693724,-4.40231,6
Gohir.D05G040600,11.038239,3.1467881,10
Gohir.D09G064000,12.341046,4.28114,10
Gohir.A01G203000,-4.6767225,-0.7790877,1
Gohir.A09G113900,12.672464,3.193289,10
Gohir.D03G173100,13.11898,3.6956646,10
Gohir.D01G198300,-2.8718512,-4.1486945,6
Gohir.A11G195400,13.999306,1.9769541,10
Gohir.D06G192200,12.958853,1.0532626,0
Gohir.A05G386800,11.162881,1.7565248,0
Gohir.A05G389200,-3.075742,-0.5736473,1
Gohir.D10G061200,-1.9570783,-4.9157147,6
Gohir.D01G156000,11.043885,3.5014317,10
Gohir.D13G046900,-6.4515276,1.943182,1
Gohir.D02G048800,12.818975,2.6916769,10
Gohir.D08G208200,-6.731573,-1.1173711,1
