program,tissue,genotype,axis,score,n_shared
10,Shoot,D130,Osmotic,0.1169,1089
10,Shoot,D130,Salt,-0.0113,1089
10,Shoot,D130,Biotic.Hormone,0.1614,1089
10,Shoot,D130,Hormone,0.0906,1089
10,Shoot,D130,Light,-0.1783,1089
10,Shoot,D130,FarRed,0.0171,1089
10,Shoot,D130,LowPH,-0.0119,1089
10,Shoot,D130,Nitrogen,0.0461,1089
10,Shoot,D130,Cold,-0.0045,1089
10,Shoot,D130,FeDeficiency,0.0345,1089
10,Shoot,D130,Herbicide,0.0786,1089
10,Shoot,D130,UV,-0.0738,1089
10,Shoot,D130,Wounding,0.015,1089
10,Shoot,D130,Genotoxic,-0.0101,1089
10,Shoot,D130,Drought.Light,0.0216,1089
10,Shoot,D130,Radiation,0.0317,1089
11,Shoot,WT,Drought,0.112,96
11,Shoot,WT,Hypoxia,0.1602,96
11,Shoot,WT,Heat,-0.1103,96
11,Shoot,WT,Biotic,0.1142,96
11,Shoot,WT,Osmotic,0.1627,96
11,Shoot,WT,Salt,0.1043,96
11,Shoot,WT,Biotic.Hormone,0.1766,96
11,Shoot,WT,Hormone,0.2574,96
11,Shoot,WT,Light,0.246,96
11,Shoot,WT,FarRed,-0.0759,96
11,Shoot,WT,LowPH,-0.1162,96
11,Shoot,WT,Nitrogen,0.2549,96
11,Shoot,WT,Cold,0.2545,96
11,Shoot,WT,FeDeficiency,-0.1484,96
11,Shoot,WT,Herbicide,0.0528,96
11,Shoot,WT,UV,0.1717,96
11,Shoot,WT,Wounding,0.2317,96
11,Shoot,WT,Genotoxic,0.2052,96
11,Shoot,WT,Drought.Light,0.3274,96
11,Shoot,WT,Radiation,0.1836,96
11,Shoot,A68,Drought,-0.0788,96
11,Shoot,A68,Hypoxia,0.2867,96
11,Shoot,A68,Heat,0.1023,96
11,Shoot,A68,Biotic,0.2447,96
11,Shoot,A68,Osmotic,0.2405,96
11,Shoot,A68,Salt,0.1243,96
11,Shoot,A68,Biotic.Hormone,0.0829,96
11,Shoot,A68,Hormone,0.2063,96
11,Shoot,A68,Light,0.2058,96
11,Shoot,A68,FarRed,0.059,96
11,Shoot,A68,LowPH,-0.0323,96
11,Shoot,A68,Nitrogen,0.2527,96
11,Shoot,A68,Cold,0.0134,96
11,Shoot,A68,FeDeficiency,-0.0538,96
11,Shoot,A68,Herbicide,0.2204,96
11,Shoot,A68,UV,0.4235,96
11,Shoot,A68,Wounding,0.1504,96
11,Shoot,A68,Genotoxic,0.3431,96
11,Shoot,A68,Drought.Light,0.1648,96
11,Shoot,A68,Radiation,0.2455,96
11,Shoot,D130,Drought,-0.0587,96
11,Shoot,D130,Hypoxia,0.0843,96
11,Shoot,D130,Heat,-0.1802,96
11,Shoot,D130,Biotic,0.0548,96
11,Shoot,D130,Osmotic,0.1138,96
11,Shoot,D130,Salt,-0.0132,96
11,Shoot,D130,Biotic.Hormone,-0.1396,96
11,Shoot,D130,Hormone,0.0911,96
11,Shoot,D130,Light,-0.0238,96
11,Shoot,D130,FarRed,0.0011,96
11,Shoot,D130,LowPH,-0.1223,96
11,Shoot,D130,Nitrogen,0.2008,96
11,Shoot,D130,Cold,-0.0434,96
11,Shoot,D130,FeDeficiency,-0.1881,96
11,Shoot,D130,Herbicide,0.1542,96
11,Shoot,D130,UV,0.1475,96
11,Shoot,D130,Wounding,0.1174,96
11,Shoot,D130,Genotoxic,0.0921,96
11,Shoot,D130,Drought.Light,-0.0105,96
11,Shoot,D130,Radiation,0.1812,96
